Person ID,Name,Freebase ID
435,Shirley Fulton Crumley,
436,Sarah Katzman,
437,David J. Bomba,
448,Hilary Swank,/en/hilary_swank
449,Jay Baruchel,/en/jay_baruchel
450,Mike Colter,/en/mike_colter
451,Lucia Rijker,/en/lucia_rijker
452,Margo Martindale,/en/margo_martindale
453,Riki Lindhome,/en/riki_lindhome
454,Michael Peña,/en/michael_pena
455,Paul Haggis,/en/paul_haggis
457,Albert S. Ruddy,/en/albert_ruddy
459,David Potaux-Razel,
460,Tom Stern,
461,Deborah Hopper,
462,Greg Brenman,/en/greg_brenman
463,Jonathan Finn,
464,Charles Brand,
465,Tessa Ross,
466,David M. Thompson,/en/david_m_thompson
467,Natascha Wharton,
468,Stephen Daldry,
469,Stephen Warbeck,
470,Lee Hall,
471,Maria Djurkovic,
472,Mark Holding,
473,Brian Tufano,
474,Jina Jay,
475,Tatiana Macdonald,
476,John Wilson,
477,Julie Walters,/en/julie_walters
478,Jamie Bell,/en/jamie_bell
479,Jamie Draven,/en/jamie_draven
480,Gary Lewis,/en/gary_lewis
481,Jean Heywood,
482,Stuart Wells,
483,Nicola Blackwell,
486,Wallace Wolodarsky,/en/wallace_wolodarsky
487,Janine Birkett,
488,Steven Spielberg,/en/steven_spielberg
489,Kathleen Kennedy,/en/kathleen_kennedy
490,Colin Wilson,
491,John Williams,/en/john_williams
492,Janusz Kamiński,
493,Michael Kahn,
494,Terri Taylor,
495,Debra Zane,
496,Rick Carter,
497,Doug J. Meerdink,
498,Joanna Johnston,
499,Cari Finken,
500,Tom Cruise,/en/tom_cruise
501,Dakota Fanning,/en/dakota_fanning
502,Miranda Otto,/en/miranda_otto
503,Justin Chatwin,/en/justin_chatwin
504,Tim Robbins,/en/tim_robbins
505,Camillia Monet,/en/camillia_sanes
506,John Scurti,/en/john_scurti
507,Josh Friedman,/en/josh_friedman
508,David Koepp,
510,Tim Burton,/en/tim_burton
511,Larry Franco,
512,Laurie Parker,
513,Jonathan Gems,
514,Jack Nicholson,/en/jack_nicholson
515,Glenn Close,/en/glenn_close
516,Annette Bening,/en/annette_bening
517,Pierce Brosnan,/en/pierce_brosnan
518,Danny DeVito,/en/danny_devito
519,Martin Short,/en/martin_short
520,Sarah Jessica Parker,/en/sarah_jessica_parker
521,Michael J. Fox,/en/michael_j_fox
522,Rod Steiger,/en/rod_steiger
523,Tom Jones,/en/tom_jones_1940
524,Natalie Portman,/en/natalie_portman
525,Christopher Nolan,
526,Lukas Haas,/en/lukas_haas
527,Jonathan Nolan,/en/jonathan_nolan
528,Sylvia Sidney,/en/sylvia_sidney
529,Guy Pearce,/en/guy_pearce
530,Carrie-Anne Moss,/en/carrie-anne_moss
531,Danny Elfman,/en/danny_elfman
532,Joe Pantoliano,/en/joe_pantoliano
533,Victor Herbert,
534,Mark Boone Junior,/en/mark_boone_junior
535,Russ Fega,
536,Jorja Fox,/en/jorja_fox
537,Stephen Tobolowsky,/en/stephen_tobolowsky
538,Harriet Sansom Harris,/en/harriet_sansom_harris
539,Thomas Lennon,/en/thomas_lennon
540,Callum Keith Rennie,/en/callum_keith_rennie
541,Chris Lebenzon,
542,Kimberly Campbell,
543,Marianne Muellerleile,/en/marianne_muellerleile
544,Larry Holden,
545,Matthew Barry,
546,Jeanne McCarthy,
547,Victoria Thomas,
548,Wynn Thomas,
549,Buzz Visconti,
550,Jennifer Todd,/en/jennifer_todd
551,Suzanne Todd,/en/suzanne_todd
552,Elaine Dysinger,
553,John Dexter,
554,Aaron Ryder,
555,Nancy Haigh,
556,Emma Thomas,
557,Colleen Atwood,
558,David Julyan,
559,Wally Pfister,
560,Patti Podesta,
561,John Papsidera,
562,Richard LeGrand Jr.,
563,Dody Dorn,
564,Richard Linklater,
566,Anne Walker-McBay,
568,Kim Krizan,
569,Ethan Hawke,/en/ethan_hawke
571,Andrea Eckert,/en/andrea_eckert
572,Hanno Pöschl,
573,Karl Bruckschwaiger,
